停留所コード,停留所名,緯度,経度
309,上氏家,35.941006,136.156601
310,上野田,35.942181,136.149185
311,漆原,35.943871,136.14386
312,石生谷,35.940727,136.135315
313,光道園（和田）,35.947475,136.138824
314,和田口,35.951176,136.142502
315,野田北（相生）,35.95126,136.146484
316,冬島（西）,35.953945,136.147156
317,朝霞（北）,35.955589,136.149857
318,二丁掛,35.953186,136.157288
319,あおい団地口,35.955772,136.159622
320,丹南橋西（丹南高校）,35.955971,136.167694
321,小黒町（東）,35.955364,136.175903
322,鯖江中学校（東）,35.951622,136.176102
323,嚮陽会館（北）,35.947197,136.179916
324,西鯖江駅前（北）,35.946899,136.182724
325,市民ホールつつじ前（本山前）（北）,35.946499,136.184586
326,本町２丁目（東）,35.945782,136.185394
327,本町1丁目（東）,35.94442,136.185287
328,JR鯖江駅（２番のりば）,35.943451,136.187912
329,鯖江中学校（西）,35.951591,136.175949
330,小黒町（西）,35.955231,136.175751
331,朝霞（南）,35.955494,136.149719
332,冬島（東）,35.95396,136.147263
333,熊田（北）,35.948452,136.166473
334,有定町２丁目（西）,35.945503,136.1763
335,嚮陽会館内,35.947439,136.179367
336,嚮陽会館（北）,35.947182,136.179916
337,西鯖江駅前（北）,35.946899,136.182724
338,市民ホールつつじ前（本山前）（北）,35.946491,136.18457
339,本町２丁目（東）,35.945774,136.185394
340,本町1丁目（東）,35.944412,136.185272
341,JR鯖江駅（２番のりば）,35.943443,136.187912
342,旭町４丁目（西）,35.94965,136.187943
343,長泉寺（西）,35.953438,136.187836
344,新出（南）,35.954353,136.194138
345,東鯖江２丁目,35.949949,136.196448
346,体育館西（東）,35.944312,136.196507
347,めがね会館,35.942931,136.197885
348,斎藤病院前（出口）,35.944125,136.206291
349,横越（南）,35.946101,136.204977
350,横越西（南）,35.946323,136.202429
351,体育館北（北）,35.946714,136.19854
352,Ａコープ東さばえ店前（東鯖江４丁目）,35.948985,136.198229
353,上河端口,35.9534,136.200607
354,上河端,35.954453,136.202576
355,曲木,35.954773,136.20639
356,高年大学,35.962833,136.206955
357,桜あふれるまち中河　中河小学校前（北）,35.954796,136.209061
358,樋口（北）,35.953369,136.210693
359,中野町松成,35.955505,136.221222
360,松成,35.956814,136.224243
361,落井口,35.954208,136.229935
362,落井,35.95388,136.236313
364,磯部口（北）,35.952354,136.241135
365,磯部（北）,35.958954,136.239853
366,ハニー東陽店（川島北）,35.948775,136.243872
367,戸口,35.952362,136.246368
368,中戸口南,35.958015,136.247162
369,中戸口,35.959641,136.247869
370,上戸口,35.969692,136.252777
371,上戸口北,35.972511,136.254852
372,別司口,35.949039,136.257324
373,別司,35.948807,136.259613
374,河和田口,35.948723,136.267838
375,河和田,35.949535,136.269836
378,うるしの里会館,35.953175,136.274216
379,西袋,35.958134,136.271027
380,椿坂,35.958549,136.274445
383,金谷,35.963818,136.284164
385,寺中,35.954597,136.289703
386,尾花,35.952194,136.294693
388,天屋橋,35.948025,136.30426
389,上河内,35.947067,136.307404
390,鉱泉前,35.945007,136.313995
391,ラポーゼかわだ（北）,35.94878,136.301361
392,北中（南）,35.954224,136.284348
393,金谷口（南）,35.954159,136.281921
394,河和田小学校前（南）,35.953766,136.278091
395,自然豊かなまち河和田　河和田ｺﾐｭﾆﾃｨｾﾝﾀｰ（東）,35.951035,136.274445
396,莇生田口（南）,35.948017,136.271912
397,磯部（南）,35.95882,136.239838
398,磯部口（南）,35.952282,136.240997
